Acesso: <sqlite3.Connection object at 0x000001C8824A1120> - 2025-06-12T08:12:15.758764
Acesso: <sqlite3.Connection object at 0x000001C8824A13F0> - 2025-06-12T08:12:37.339011
Acesso: <sqlite3.Connection object at 0x000001C8824A1990> - 2025-06-12T08:12:37.350144
Acesso: <sqlite3.Connection object at 0x000001C8824A1A80> - 2025-06-12T08:12:37.352086
Acesso: <sqlite3.Cursor object at 0x00000207FC4F79C0> - 2025-06-12T08:12:49.508717
[2025-06-12T09:45:00.827328] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:45:01.636454] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:45:03.085364] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:45:03.963746] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:45:05.074257] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:45:05.937863] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=7 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:46:53.884178] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:46:54.539413] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:46:55.604059] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:46:56.452878] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:47:20.673142] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:47:21.324897] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:47:54.821671] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:47:55.521403] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:47:55.523582] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:47:57.812646] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:47:57.982566] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:46.145384] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:47.229075] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:08:48.324891] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:49.187839] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:08:49.913910] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:50.586814] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:08:51.329823] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:51.835804] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:08:52.479239] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:52.962673] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:08:53.758367] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:54.432114] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=7 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:08:54.447261] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:08:56.095966] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=7 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:00.944630] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:01.697230] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=7 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:01.707015] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:03.418433] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=7 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:04.666919] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:05.247564] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:06.281838] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:06.788509] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:07.896444] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:08.651628] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:09.585711] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:10.733563] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=7 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:11.621798] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T10:09:13.577948] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:09:14.211449] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:15.278135] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:09:15.786543] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=63 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:09:16.439890] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:10:28.037607] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:10:28.628596] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:10:33.990570] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:10:56.975815] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '192.168.0.24')
[2025-06-12T10:10:58.682977] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '192.168.0.24')
[2025-06-12T10:11:40.017671] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '192.168.0.70')
[2025-06-12T10:11:45.000845] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '192.168.0.70')
[2025-06-12T10:15:22.627892] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:15:23.519888] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:15:28.688123] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:15:30.202550] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=63 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:15:30.214671] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:15:32.512645] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=63 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:15:32.526143] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T10:19:49.554817] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T10:20:17.503656] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
